epoch,training_loss,validation_loss
1,0.01708677038550377,0.0019608940929174423
2,0.0009519389132037759,0.001348951947875321
3,0.0008168568019755185,0.0015657934127375484
4,0.0008557650726288557,0.0016124183312058449
5,0.000804884999524802,0.001254377537406981
6,0.000726392725482583,0.0012702487874776125
7,0.0007458689506165683,0.0015037127304822206
8,0.0008141646394506097,0.002564085414633155
9,0.0009415402892045677,0.0011446645949035883
10,0.0007223775028251112,0.002461024560034275
11,0.0007836754666641355,0.0016572776949033141
12,0.0008104436565190554,0.0012218006886541843
13,0.0006783700082451105,0.0010975891491398215
14,0.000721832097042352,0.0015827398747205734
15,0.0006897783605381846,0.0011185691691935062
16,0.0006225813995115459,0.0010208662133663893
17,0.0006640993524342775,0.001954837469384074
18,0.0007179082604125142,0.001014158595353365
19,0.0006488299695774913,0.0012479840079322457
20,0.0005782517255283892,0.0009675731416791677
21,0.0006440189899876714,0.0013666091253980994
22,0.0006930396775715053,0.0009758707601577044
23,0.0006033493555150926,0.0008936987142078578
24,0.0006077233119867742,0.00113352807238698
25,0.0006971874390728772,0.0013283119769766927
26,0.0006670770235359669,0.001830776920542121
27,0.0005438787047751248,0.0009139300673268735
28,0.0006467493949458003,0.0011038569500669837
29,0.0005666764336638153,0.001670441823080182
30,0.000683051475789398,0.001718289451673627
31,0.0006008317577652633,0.0015587606467306614
32,0.0007082058000378311,0.0007843205239623785
33,0.0005403550458140671,0.0008001646492630243
34,0.0005489417235367,0.0009396725799888372
35,0.0005575660616159439,0.001262189820408821
36,0.000502018432598561,0.0011667829239740968
37,0.0007429164834320545,0.003151788841933012
38,0.0006626429385505617,0.0010305290343239903
39,0.000524631526786834,0.0007997307111509144
40,0.00046792824286967516,0.0011881024111062288
41,0.0005390747101046145,0.0010058832122012973
42,0.00047912634909152985,0.0011793628800660372
43,0.000565689115319401,0.0016090600984171033
44,0.0004889951087534428,0.0009498264407739043
45,0.00046202490921132267,0.0006992007256485522
46,0.0004874918085988611,0.001077899243682623
47,0.00046322657726705074,0.0009906869381666183
48,0.0004499749047681689,0.0007426890078932047
49,0.0005047674058005214,0.000666663283482194
50,0.0004609439638443291,0.0006714347400702536
51,0.00043588585685938597,0.0007816466968506575
52,0.00046773633221164346,0.0007005696534179151
53,0.0004527577548287809,0.0010758111020550132
54,0.0004939832142554224,0.0006808640318922698
55,0.00043004436884075403,0.000642778177279979
56,0.0004320668231230229,0.000631192175205797
57,0.00042593973921611905,0.0006250147125683725
58,0.0005009869346395135,0.0006463048630394042
59,0.0004820232861675322,0.0006769031169824302
60,0.0004416787123773247,0.0008085571462288499
61,0.0004134030605200678,0.0006337405066005886
62,0.00045313211739994586,0.0017087775049731135
63,0.0005722242058254778,0.000809408025816083
64,0.00040370499482378364,0.0009621530189178884
65,0.00042728905100375414,0.0007752474048174918
66,0.00041863543447107077,0.0007085035322234035
67,0.00038294197292998433,0.0007184119313023984
68,0.0004023142100777477,0.0007898514159023762
69,0.0003584211226552725,0.0006534066633321345
70,0.0003780337574426085,0.0005759706255048513
71,0.00039683302748017013,0.0031414469704031944
72,0.0005497592501342297,0.0006939813611097634
73,0.0003693884937092662,0.0006993569550104439
74,0.0004546604468487203,0.000559680222067982
75,0.0003812741197180003,0.0005643695476464927
76,0.00038668059278279543,0.0008860802045091987
77,0.00041635255911387503,0.0006245498661883175
78,0.0003679369983728975,0.0006978045566938818
79,0.0003915150591637939,0.001170322299003601
80,0.00048334922757931054,0.0013137910282239318
81,0.00048449946916662157,0.0007785519119352102
82,0.000376265641534701,0.0006128947716206312
83,0.00035287911305204034,0.0007651813793927431
84,0.0003964122151955962,0.0010496214963495731
85,0.00041359022725373507,0.0005498020327650011
86,0.0003962560440413654,0.0005250115063972771
87,0.0003643714589998126,0.0011544197332113981
88,0.0004059752100147307,0.0007707251352258027
89,0.0003287064319010824,0.0005293064750730991
90,0.0003380088310223073,0.0005431715399026871
91,0.00034224853152409196,0.0005177105776965618
92,0.00032025325344875455,0.0010567600838840008
93,0.0003720925305970013,0.0005928232567384839
94,0.00039072256186045706,0.0009479305590502918
95,0.00038938462967053056,0.0006196412723511457
96,0.0003136845480185002,0.0008812279556877911
97,0.0004570123855955899,0.0007609105086885393
98,0.0003581502242013812,0.0008514171931892633
99,0.00038481131196022034,0.0005840398371219635
100,0.0003220924118068069,0.0014182921731844544
